reference_cell_type,reference_cell_group,reference_genes,nonzero_genes,nonzero_gene_fraction,mean_profile_value,median_profile_value,p95_profile_value,max_profile_value
acinar.cell,acinar,15975,13639,0.8537715179968701,122.160759727955,11.6873089304518,255.52277655448933,98849.4938748466
mesenchymal.cell,mesenchymal,15975,10898,0.6821909233176838,148.1769643446449,15.3374334519083,554.9557988371025,36085.3819653977
pancreatic.A.cell,alpha,15975,15243,0.9541784037558686,123.29187981759382,25.1094608727034,406.7570159658236,211877.590321192
pancreatic.D.cell,delta,15975,12090,0.7568075117370892,113.33222030587851,22.9321207467913,428.56208338633735,99953.595524173
pancreatic.ductal.cell,pancreatic ductal,15975,13982,0.8752425665101722,154.74398162502496,31.3393542762996,573.7329371324543,24458.4823342361
type.B.pancreatic.cell,beta,15975,13571,0.8495148669796557,113.59705050147775,22.4451450411482,427.1170059978571,96900.8298425592
