overlap_gene
A1CF
A2M
A4GNT
AAAS
AADAC
AADACL4
AAGAB
AAK1
AAMP
AASDHPPT
AATF
AATK
ABCA13
ABCA4
ABCA5
ABCB1
ABCB10
ABCB7
ABCB9
ABCC1
ABCC3
ABCC8
ABCD3
ABCF3
ABHD11
ABHD12
ABHD14B
ABHD16A
ABHD2
ABHD3
ABHD6
ABI1
ABI2
ABL1
ABLIM1
ABO
ABR
ABT1
ACAA1
ACAA2
ACACA
ACAD9
ACADM
ACADS
ACADVL
ACAP2
ACAP3
ACAT1
ACBD3
ACBD5
ACBD6
ACE
ACE2
ACER2
ACHE
ACIN1
ACLY
ACO1
ACO2
ACOT11
ACOX1
ACP1
ACP6
ACSF2
ACSF3
ACSL3
ACSL4
ACSL5
ACSL6
ACSM2A
ACSM5
ACSS1
ACSS2
ACTA2
ACTL6A
ACTN1
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACVR1
ACVR1B
ACY1
ADAL
ADAM10
ADAM15
ADAM17
ADAM28
ADAM8
ADAM9
ADAMTS13
ADAMTS3
ADAMTS9
ADAP1
ADAR
ADARB1
ADCK5
ADCY6
ADCY7
ADD1
ADD3
ADH1A
ADH1B
ADH5
ADH7
ADI1
ADIPOR1
ADK
ADNP
ADPGK
ADRA2A
ADRA2B
ADRM1
AEBP1
AEBP2
AFAP1L2
AFF1
AFF4
AFG3L2
AFMID
AFTPH
AGAP1
AGAP3
AGAP9
AGFG1
AGFG2
AGGF1
AGK
AGPAT1
AGPAT2
AGPS
AGR2
AGR3
AGRN
AHCTF1
AHCY
AHCYL1
AHCYL2
AHDC1
AHI1
AHNAK
AHNAK2
AHR
AHSA1
AHSG
AIDA
AIFM1
AIMP1
AIP
AK1
AK2
AK3
AK4
AK8
AKAP1
AKAP11
AKAP12
AKAP13
AKAP14
AKAP17A
AKAP7
AKAP8
AKAP8L
AKAP9
AKIP1
AKIRIN1
AKIRIN2
AKR1A1
AKR1B1
AKR1B15
AKR1C1
AKR1C2
AKR1C3
AKR1E2
AKR7A3
AKT1
AKT2
ALAD
ALAS1
ALB
ALCAM
ALDH1A1
ALDH1A3
ALDH1B1
ALDH1L2
ALDH2
ALDH3A1
ALDH3A2
ALDH3B1
ALDH3B2
ALDH7A1
ALDH9A1
ALDOA
ALDOB
ALG10B
ALG13
ALG3
ALG5
ALG9
ALKBH2
ALKBH5
ALKBH7
ALOX5
ALS2CL
ALX3
ALYREF
AMBP
AMBRA1
AMD1
AMDHD1
AMDHD2
AMFR
AMIGO2
AMMECR1L
AMN
AMOTL1
AMOTL2
AMPD2
AMY1A
AMY2B
AMZ2
ANAPC11
ANAPC13
ANAPC16
ANAPC5
ANAPC7
ANG
ANGEL1
ANGPTL4
ANK1
ANK3
ANKDD1A
ANKHD1
ANKLE2
ANKMY1
ANKRD10
ANKRD11
ANKRD12
ANKRD13C
ANKRD16
ANKRD17
ANKRD28
ANKRD30BL
ANKRD33
ANKRD36
ANKRD36B
ANKRD46
ANKRD52
ANKRD54
ANKS3
ANKS6
ANKZF1
ANO1
ANO6
ANO7
ANO8
ANO9
ANP32A
ANP32B
ANPEP
ANTXR1
ANTXR2
ANXA1
ANXA10
ANXA11
ANXA13
ANXA2
ANXA3
ANXA4
ANXA5
ANXA7
ANXA8
ANXA9
AOC3
AOX1
AP1B1
AP1G1
AP1G2
AP1M2
AP1S3
AP2A1
AP2A2
AP2B1
AP2M1
AP2S1
AP3B1
AP3D1
AP3S1
APBB3
APCDD1
APCS
APEX1
APH1A
API5
APIP
APLP1
APLP2
APOC1
APOD
APOE
APOL1
APOL2
APOL4
APP
APPL1
APPL2
APRT
AQP1
AQP12B
AQP2
AQP3
AQP8
AQP9
ARAF
ARAP1
ARAP2
ARCN1
AREG
ARF1
ARF3
ARF4
ARF5
ARF6
ARFGAP1
ARFGAP3
ARFGEF1
ARFGEF2
ARFIP1
ARFIP2
ARFRP1
ARGLU1
ARHGAP1
ARHGAP12
ARHGAP17
ARHGAP18
ARHGAP21
ARHGAP23
ARHGAP24
ARHGAP26
ARHGAP27
ARHGAP29
ARHGAP31
ARHGAP35
ARHGAP5
ARHGAP8
ARHGDIA
ARHGDIB
ARHGDIG
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF12
ARHGEF16
ARHGEF17
