method_name,collection,contrast,Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,APOPTOSIS,APOPTOSIS,165,0.5017056594734359,1.5099183990705312,7.44903360605054e-4,0.015275381218835865,0.0125343753858719,3393,"tags=30%, list=18%, signal=25%",PLEC/SEM1/PSMD2/HMGB1/ADRM1/CDH1/CDKN2A/PSMC4/TP63/ACIN1/YWHAB/PSMD7/E2F1/BCL2L1/PSMA7/PSMA4/BCAP31/PSMD14/PSMC2/PSMC5/H1-2/KPNB1/PSMB5/H1-5/KPNA1/LMNA/PSMC6/PSMB3/BID/PSMA3/SFN/LMNB1/SPTAN1/DSG2/DYNLL1/CASP8/PSMD3/YWHAZ/YWHAG/TRADD/DAPK3/HMGB2/PSMD8/PSMA6/UBB/PSMC1/NMT1/PSMC3/TNFRSF10B
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,EXTRACELLULAR_MATRIX_ORGANIZATION,EXTRACELLULAR_MATRIX_ORGANIZATION,317,0.44954058846105166,1.4146879945520991,7.526719741435233e-4,0.015275381218835865,0.0125343753858719,3494,"tags=31%, list=19%, signal=26%",ADAM9/ITGB4/PLEC/CD151/ITGA3/ADAM8/P4HA1/PPIB/ACTC1/OPTC/LAMC2/ITGAV/MMP14/ACTN1/CDH1/SERPINE1/TNC/PLOD3/DDR1/COL11A1/PSEN1/LAMA5/COL1A1/BMP7/THBS1/TIMP2/COL12A1/KLK2/FGF2/LAMA3/ITGB5/LAMB3/ITGB6/COL5A2/SERPINH1/ITGA9/ADAM17/ADAM10/COL4A6/FBN3/AGRN/ITGB1/ELANE/FGB/ITGA11/BMP1/TGFB1/ITGA2/TNR/FN1/ICAM5/DST/ADAM19/MUSK/COL1A2/ITGAD/MFAP5/ACTG2/FBLN2/LOXL3/NCAN/VCAN/PCOLCE2/BMP4/FURIN/MMP11/LAMB1/CASK/LAMA4/SGCE/SDC4/CAST/COL17A1/ADAMTS14/TLL2/COL6A5/LRP4/CAPNS2/SNTA1/ICAM2/SGCD/ITGA1/COLGALT1/PLOD2/SNTB2/COL4A1/MFAP3/SCUBE3/LAMC1/SPOCK3/ACTA2/LOXL2/COL5A1/ADAM15/PDGFB/CAPN2/COL3A1/LOXL1
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,21,-0.7339562297067087,-1.8923787509842764,7.90569790639236e-4,0.015460991260539382,0.012686679665861357,935,"tags=38%, list=5%, signal=36%",CD320/CBLIF/TCN1/MMUT/LDLRAP1/CTRB1/PRSS3/CTRB2
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,TYPE_I_HEMIDESMOSOME_ASSEMBLY,TYPE_I_HEMIDESMOSOME_ASSEMBLY,11,0.8509224958981284,1.7287526872988923,7.91118314658048e-4,0.015460991260539382,0.012686679665861357,1588,"tags=64%, list=9%, signal=58%",ITGB4/PLEC/CD151/LAMC2/LAMA3/LAMB3/DST
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,58,0.6159012288127944,1.6527975230805891,7.760364443647103e-4,0.015460991260539382,0.012686679665861357,4006,"tags=55%, list=21%, signal=43%",SEM1/PSMD2/ADRM1/PSMC4/PSMD7/PSMA7/DLX5/PSMA4/PSMD14/PSMC2/PSMC5/PSMB5/HIVEP3/PSMC6/PSMB3/PSMA3/CBFB/PSMD3/SMURF1/PPARGC1B/MSX2/PSMD8/PSMA6/UBB/PSMC1/PSMC3/RBX1/NKX3-2/SKP2/GSK3B/PSMD11/PSMA5
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,RHO_GTPASES_ACTIVATE_CIT,RHO_GTPASES_ACTIVATE_CIT,19,0.7750451287627723,1.7584232301276934,8.962800699073456e-4,0.017302577447113755,0.014197812660663214,2732,"tags=53%, list=15%, signal=45%",PPP1CB/RHOC/MYH9/CIT/DLG4/MYL12B/MYH14/PRC1/MYL6/MYL9
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,GASTRULATION,GASTRULATION,116,0.5346340495041588,1.5593908584324936,9.705375167965326e-4,0.018290010584391798,0.015008061349961419,4006,"tags=45%, list=21%, signal=35%",SEM1/PSMD2/ADRM1/FGF4/CDH1/POU5F1/PSMC4/CLDN7/OSR1/PSMD7/FGF2/TCF7/FOXF1/PSMA7/DLX5/PSMA4/PSMD14/TEAD4/PSMC2/PSMC5/ZIC1/MAMLD1/PSMB5/DLL3/SNW1/PSMC6/NOTO/PSMB3/TCF7L1/HES7/PSMA3/TBXT/SMAD3/BMP4/TFAP2B/PSMD3/EPHA4/FOXC2/SHH/NOG/PSMD8/PSMA6/OTX2/PSMC1/PSMC3/GBX2/SOX1/MESP2/TCF7L2/TFAP2A/PSMD11/PSMA5
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,SIGNALING_BY_NOTCH,SIGNALING_BY_NOTCH,218,0.4801976289621159,1.48436301966506,9.679570452498596e-4,0.018290010584391798,0.015008061349961419,3413,"tags=38%, list=18%, signal=31%",SEM1/PSMD2/ADRM1/MFNG/PSMC4/H2BC13/TLE3/PSEN1/PTCRA/PSMD7/E2F1/H2BC3/ATP2A2/PSMA7/H2BC4/PSMA4/H2BC17/ADAM17/ADAM10/H2AC6/PSMD14/H2BC11/PSMC2/PSMC5/EGF/H2AC8/ELANE/JAG2/MAMLD1/PSMB5/PLXND1/SNW1/H3C10/PSMC6/AGO2/PSMB3/H3C15/HDAC7/PSMA3/DLL4/SMAD3/HEY2/PRKCI/FURIN/H3C2/MYC/H3C13/NEURL1B/H4C12/H4C2/H3C11/PSMD3/NOTCH3/YWHAZ/JAG1/EGFR/PSENEN/H2BC15/H3C3/H2AC19/H2AC4/AGO3/H3-3B/MDK/TACC3/H4C13/PSMD8/B4GALT1/PSMA6/UBB/DLGAP5/H4C15/PSMC1/APH1B/H2AC14/H4C8/ACTA2/HDAC10/H2BC5/FABP7/PSMC3/H3C4
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,52,0.6323363708701362,1.6687655784942126,0.0010002596629983262,0.018628365253251185,0.015285701846934174,3499,"tags=46%, list=19%, signal=38%",SEM1/CCNA1/PSMD2/ADRM1/CDKN2A/PSMC4/PSMD7/PSMA7/PSMA4/PSMD14/PSMC2/PSMC5/PSMB5/PSMC6/PSMB3/PSMA3/PSMD3/CCNA2/PSMD8/PSMA6/UBB/PSMC1/PSMC3/CDKN1A
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PROTEASOME_ASSEMBLY,PROTEASOME_ASSEMBLY,52,0.632144867687186,1.6682601925404685,0.0010125326346608664,0.018637664658931994,0.015293332572478693,3365,"tags=46%, list=18%, signal=38%",SEM1/PSMD2/ADRM1/PSME2/PSMC4/PSMD7/PSMA7/PSMA4/PSMD14/PSMC2/PSMC5/POMP/PSMB5/PSMC6/PSMB3/PSMA3/PSME1/PSMB8/PSMB9/PSMD3/PSMD8/PSMA6/PSMC1/PSMC3
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,29,0.7105700381478647,1.736871463165063,0.0010758397373748492,0.01913544162094816,0.015701788715796142,3515,"tags=52%, list=19%, signal=42%",EPHA7/MYH9/EFNA4/EPHA1/MYL12B/EFNA2/MYH14/MYL6/EFNA5/EPHA4/SRC/EPHA6/MYL9/NGEF/EPHA2
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,HH_MUTANTS_ABROGATE_LIGAND_SECRETION,HH_MUTANTS_ABROGATE_LIGAND_SECRETION,45,0.6478263398359085,1.6874176074522853,0.001056422662479992,0.01913544162094816,0.015701788715796142,3365,"tags=47%, list=18%, signal=38%",SEM1/PSMD2/ADRM1/PSMC4/PSMD7/PSMA7/PSMA4/PSMD14/PSMC2/PSMC5/PSMB5/PSMC6/PSMB3/PSMA3/PSMD3/SHH/PSMD8/PSMA6/UBB/PSMC1/PSMC3
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,SIGNALING_BY_TGFB_FAMILY_MEMBERS,SIGNALING_BY_TGFB_FAMILY_MEMBERS,157,0.5029216106789847,1.509250981411961,0.0010683724197159115,0.01913544162094816,0.015701788715796142,3606,"tags=34%, list=19%, signal=27%",PPP1CB/WWTR1/DRAP1/NEDD8/ITGAV/MMP14/SERPINE1/FSTL3/SKIL/PSEN1/TIMP2/FGF2/ITGB5/ITGB6/JUNB/SMAD6/UBE2D1/FSTL1/GIPC1/ITGB1/PMEPA1/FKBP1A/BMPR2/TGFB1/SNW1/RXRA/AGO2/CDKN2B/AMH/COL1A2/MYOD1/SMAD3/FURIN/MYC/SMURF2/CER1/SMAD1/PSENEN/SMURF1/PPP1CA/PARD3/INHBA/AGO3/CGN/NOG/UBB/APH1B/BAMBI/TCF3/MYCN/ATP1B4/ACVR1C/PPP1R15A
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,HOST_INTERACTIONS_OF_HIV_FACTORS,HOST_INTERACTIONS_OF_HIV_FACTORS,116,0.5326475393251227,1.5535967160350068,0.0011131009301107164,0.019578208581836266,0.016065105821714904,3746,"tags=37%, list=20%, signal=30%",HMGA1/SEM1/PSMD2/ADRM1/PSMC4/AP2M1/HLA-A/RAN/PSMD7/PPIA/NUP210/RANGAP1/PSMA7/AP1S3/PSMA4/PSMD14/PSMC2/PSMC5/KPNB1/PSMB5/KPNA1/PSMC6/PSMB3/PSMA3/RANBP1/AP2B1/BANF1/AP1B1/PSMD3/AP1M1/NUP93/NUP58/RCC1/AP1M2/PSMD8/PSMA6/UBB/PSMC1/PSMC3/ELOC/NUP153/AP1S1/RBX1
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,NEPHRIN_FAMILY_INTERACTIONS,NEPHRIN_FAMILY_INTERACTIONS,23,0.7370505882676164,1.7369324049327324,0.001134393076063899,0.01961008308369601,0.016091260780849735,2688,"tags=43%, list=14%, signal=37%",IQGAP1/SPTBN1/ACTN1/CD2AP/SPTAN1/WASL/CASK/ACTN4/NCK1/ACTN3
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,RHOA_GTPASE_CYCLE,RHOA_GTPASE_CYCLE,148,0.5128837565861211,1.5285554274211417,0.0011396889726468938,0.01961008308369601,0.016091260780849735,3599,"tags=31%, list=19%, signal=25%",ARHGAP31/CAV1/IQGAP1/ACTC1/JUP/FLOT1/SOWAHC/PLEKHG6/TRIO/CIT/ANLN/MCAM/KTN1/ARHGAP39/VANGL1/BCAP31/ARHGEF5/DIAPH1/PCDH7/DEPDC1B/OBSCN/ARHGEF25/ARHGEF4/YKT6/ARHGDIB/ARHGDIA/ABR/ARHGAP9/TFRC/ARHGAP23/CAVIN1/VAV2/FAM13A/RHPN1/NET1/ECT2/AKAP13/IQGAP3/ARHGAP18/ARHGAP40/HMOX2/NGEF/ARHGEF15/PGRMC2/ARHGAP22/ARHGAP4
limma_trend_GeoDiff,Reactome,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,PoorlyDiffTumor_Tumor - (Acinar_Healthy + Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor)/8,ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,53,0.6227339376502588,1.6487607850366863,0.0011902538820257626,0.02025991285211594,0.016624485460325876,4006,"tags=47%, list=21%, signal=37%",SEM1/PSMD2/ADRM1/CARD11/PSMC4/PSMD7/PSMA7/PSMA4/PSMD14/PSMC2/PSMC5/PSMB5/PSMC6/PSMB3/PSMA3/PSMD3/NFKBIA/PSMD8/PSMA6/UBB/PSMC1/PSMC3/RELA/PSMD11/PSMA5
